Below is the amount of Stat Exp enemy trainer pokemon receive in hard mode.

Trainer 
'mon 
level	Stat EXP	+Bonus
		per stat	per stat
1		0			0
2		0			0
3		0			0
4		0			0
5		0			0
6		122			0
7		256			0
8		402			0
9		560			0
10		730			0
11		912			0
12		1106		0
13		1312		1
14		1530		1
15		1760		1
16		2002		1
17		2256		2
18		2522		2
19		2800		2
20		3090		2
21		3392		2
22		3706		3
23		4032		3
24		4370		3
25		4720		4
26		5082		4
27		5456		4
28		5842		5
29		6240		5
30		6650		6
31		7072		6
32		7506		6
33		7952		7
34		8410		7
35		8880		8
36		9362		8
37		9856		9
38		10362		9
39		10880		10
40		11410		10
41		11952		11
42		12506		11
43		13072		12
44		13650		12
45		14240		13
46		14842		13
47		15456		14
48		16082		14
49		16720		15
50		17370		16
51		18032		16
52		18706		17
53		19392		18
54		20090		18
55		20800		19
56		21522		20
57		22256		21
58		23002		22
59		23760		22
60		24530		23
61		25312		24
62		26106		24
63		26912		25
64		27730		26
65		28560		27
66		29402		28
67		30256		28
68		31122		29
69		32000		30
70		32890		31
71		33792		32
72		34706		33
73		35632		34
74		36570		35
75		37520		36
76		38482		37
77		39456		37
78		40442		39
79		41440		40
80		42450		40
81		43472		42
82		44506		42
83		45552		43
84		46610		45
85		47680		45
86		48762		47
87		49856		48
88		50962		49
89		52080		50
90		53210		51
91		54352		52
92		55506		54
93		56672		54
94		57850		56
95		59040		57
96		60242		58
97		61456		60
98		62682		60
99		63920		62
100		65170		63

